UPC,Title,Description,Size,Count,Container,Dimensions,Claims,Source_Name,Breadcrumbs,Price,Image_URL,Source_Identifier
028400002707,"Frito Lay Lays Wavy Potato Chips, 14.125 oz","Chips, Potato, Wavy, Prepriced, Bag 14.2 OZ Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com. 14.125 oz (400.4 g) Plano, TX 75024-4099 800-352-4477 2013 Frito-Lay North America, Inc.
* Potato Chips, Original * Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com.",14.125 oz,1,bag,,No Artificial Flavors; No Preservatives; MSG-Free; Gluten-Free,Walmart,"Food > Snacks, Cookies & Chips > Chips > Lay's Wavy Chips","33,7",https://i5.walmartimages.com/asr/15c4340d-08d3-4967-8eda-411f4daadd28_1.e2ceb154d8c567075636f5304fae3e5a.jpeg,969996713
028400002714,"Lay's Potato Chips, Barbecue, 13.625 Ounce","This barbecue potato chips start with farm-grown potatoes, cooked and seasoned to perfection. Then adds the spicy sweet flavors of BBQ sauce. So every potato chip is perfectly crispy and delicious. Happiness in every bite.
13.625 ounce bag",13.625 oz,1,bag,13.2 x 8 x 3.7; inches,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,"10,8",https://m.media-amazon.com/images/I/91PikPcjgRL._SL1500_.jpg,B00F9WTDWU
028400003001,"Lay's Potato Chips, Barbecue, 1.5 Ounce (Pack of 64)","Lay's Barbecue Flavored Potato Chips, 1.5 Ounce (Pack of 64)
Includes (64) 1.5 Oz Snack Bags of Lay's Potato Chips, Barbecue flavor. Lay's Potato Chips, Barbecue flavor is a delicious snack for pairing with a small meal. Loved LAY'S flavor to enjoy as an any time snack. No Artificial Flavors. Kosher",1.5 oz,64,bag,,No Artificial Flavors; Kosher Certified,MASKED,,,,
028400003001,"Lay's Potato Chips, Barbecue, 1.5 Ounce (Pack of 64)","Lay's Barbecue Flavored Potato Chips, 1.5 Ounce (Pack of 64)
Includes (64) 1.5 Oz Snack Bags of Lay's Potato Chips, Barbecue flavor. Lay's Potato Chips, Barbecue flavor is a delicious snack for pairing with a small meal. Loved LAY'S flavor to enjoy as an any time snack. No Artificial Flavors. Kosher",1.5 oz,64,bag,,No Artificial Flavors; Kosher Certified,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840000300,0002840000300
028400003001,"Lay's Potato Chips, Barbecue, 1.5 Ounce (Pack of 64)","Lay's Barbecue Flavored Potato Chips, 1.5 Ounce (Pack of 64)
Includes (64) 1.5 Oz Snack Bags of Lay's Potato Chips, Barbecue flavor. Lay's Potato Chips, Barbecue flavor is a delicious snack for pairing with a small meal. Loved LAY'S flavor to enjoy as an any time snack. No Artificial Flavors. Kosher",1.5 oz,64,bag,,No Artificial Flavors; Kosher Certified,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,"75,18",https://m.media-amazon.com/images/I/91LP6SwizJL._SL1500_.jpg,B000R7TG3S
028400003001,"Lay's Potato Chips, Barbecue, 1.5 Ounce (Pack of 64)","Lay's Barbecue Flavored Potato Chips, 1.5 Ounce (Pack of 64)
Includes (64) 1.5 Oz Snack Bags of Lay's Potato Chips, Barbecue flavor. Lay's Potato Chips, Barbecue flavor is a delicious snack for pairing with a small meal. Loved LAY'S flavor to enjoy as an any time snack. No Artificial Flavors. Kosher",1.5 oz,64,bag,,No Artificial Flavors; Kosher Certified,Walmart,"Food > Snacks, Cookies & Chips > Chips > Lay's Barbecue Chips","3,99",https://i5.walmartimages.com/seo/Lay-s-Barbecue-Flavored-Potato-Chips-Snack-Chips-1-5-oz-Bag_8382ccb6-50fc-4bae-b414-9744f06f7362.5957884e2b9791d9c2a79d31205e4c6a.jpeg,42197809
028400003414,Lay's Family Size Cheddar & Sour Cream Flavored Potato Chips 9.5 oz,"It all starts with farm-grown potatoes, cooked and seasoned to perfection. Then we add the tang of sour cream and sharp cheddar. So every LAY'S potato chip is perfectly crispy and delicious. Happiness in Every Bite.
* Sour cream and sharp cheddar flavor * Perfectly crispy and delicious * Family size bag * Packaging may vary",9.5 oz,1,bag,,,MASKED,,,,
028400003414,Lay's Family Size Cheddar & Sour Cream Flavored Potato Chips 9.5 oz,"It all starts with farm-grown potatoes, cooked and seasoned to perfection. Then we add the tang of sour cream and sharp cheddar. So every LAY'S potato chip is perfectly crispy and delicious. Happiness in Every Bite.
* Sour cream and sharp cheddar flavor * Perfectly crispy and delicious * Family size bag * Packaging may vary",9.5 oz,1,bag,,,Walmart,Home Page > Shop by Brand > Food & Grocery > Frito-Lay,,,297288655
028400003452,Lay's Family Size Limon Flavored Potato Chips 9.5 oz,"Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.  It all starts with farm-grown potatoes- cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite.
Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face It all starts with farm-grown potatoes, cooked and seasoned to perfection Every LAY'S® potato chip is perfectly crispy and full of fresh potato taste ['Contains: Does Not Contain Any of the 8 Major Allergens', 'Features: No Artificial Flavors', 'Form: Chip', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 9.5 Ounces']",9.5 oz,1,bag,,Free From Major Allergens; No Artificial Flavors,MASKED,,,,
028400003452,Lay's Family Size Limon Flavored Potato Chips 9.5 oz,"Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.  It all starts with farm-grown potatoes- cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite.
Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face It all starts with farm-grown potatoes, cooked and seasoned to perfection Every LAY'S® potato chip is perfectly crispy and full of fresh potato taste ['Contains: Does Not Contain Any of the 8 Major Allergens', 'Features: No Artificial Flavors', 'Form: Chip', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 9.5 Ounces']",9.5 oz,1,bag,,Free From Major Allergens; No Artificial Flavors,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/81R-bIRl68L._SL1500_.jpg,B07VCL45XS
028400003452,Lay's Family Size Limon Flavored Potato Chips 9.5 oz,"Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.  It all starts with farm-grown potatoes- cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite.
Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face It all starts with farm-grown potatoes, cooked and seasoned to perfection Every LAY'S® potato chip is perfectly crispy and full of fresh potato taste ['Contains: Does Not Contain Any of the 8 Major Allergens', 'Features: No Artificial Flavors', 'Form: Chip', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 9.5 Ounces']",9.5 oz,1,bag,,Free From Major Allergens; No Artificial Flavors,Target,"Grocery > Chips, Snacks & Cookies > Chips",,,12992103
028400003452,Lay's Family Size Limon Flavored Potato Chips 9.5 oz,"Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.  It all starts with farm-grown potatoes- cooked and seasoned to perfection. So every Lay's potato chip is perfectly crispy and delicious. Happiness in every bite.
Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face It all starts with farm-grown potatoes, cooked and seasoned to perfection Every LAY'S® potato chip is perfectly crispy and full of fresh potato taste ['Contains: Does Not Contain Any of the 8 Major Allergens', 'Features: No Artificial Flavors', 'Form: Chip', 'State of Readiness: Ready to Eat', 'Package Quantity: 1', 'Package type: Individual Item Multi-Serving', 'Net weight: 9.5 Ounces']",9.5 oz,1,bag,,Free From Major Allergens; No Artificial Flavors,Walmart,"Food > Snacks, Cookies & Chips > Chips > Lay's Limon Chips","2,98",https://i5.walmartimages.com/seo/Lay-s-Potato-Chips-Limon-Flavor-9-5-oz-Bag_4333224d-3513-44d7-bbf0-b69eb4878309_1.162a7e6e58004e85d31ec6d0ac3e7ec2.jpeg,451870580
028400003513,Lay's Family Size Chile Limon Flavored Potato Chips 9.5 oz,"No artificial flavors. Spicy. Citrusy. Crispy. Appetizing. fritolay.com. lays.com. Facebook. Twitter. Find us on lays.com. SmartLabel: Scan here for more food information. 1-800-352-4477 Call for more food information. Questions or comments? 1-800-352-4477. Mon-Fri 9:00am to 4:30pm CT email or chat at fritolay.com.
",9.5 oz,1,bag,,,MASKED,,,,
028400003667,Lay's LAYS POT CHIP FLAMIN HOT PP 1.25 OZ,"LAYS POT CHIP FLAMIN HOT PP
",1.25 oz,1,bag,,,MASKED,,,,
028400003681,Lay's Honey Barbecue Flavored Potato Chips,"A delicious blend of caramel coated popcorn and peanuts has made Cracker Jack one of America's favorite snacks. Cracker Jack has delivered great taste and prizes to millions of kids around the world. And How there are new surprises waiting for you. Peanuts may have settled to bottom during shipping and handling.
",3.75 oz,1,bag,,,MASKED,,,,
028400003698,Lay's Sweet Southern Heat Barbecue Flavored Potato Chips,"Lay's® Brand Sweet Southern Heat Barbecue Flavored Potato Chips. 0grams trans fat. See nutrition facts for saturated fat info.
©2007 Frito-Lay, North America, Inc. Visit our website @ fritolay.com. FritoLay® good fun! Made with all natural ingredients. Guaranteed fresh, until printed date or this snack's on us. Questions or comments Weekdays 9:00AM to 4:30PM Central Time 1-800-352-4477.
",1.25 oz,1,bag,,All Natural,MASKED,,,,
028400003919,"Lay's Potato Chips, Salt & Vinegar, 1.5-Ounce Large Single Serve Bags (Pack of 64)","0 grams Trans fat. Made with 100% pure sunflower oil. Same great taste! Great news! The 2005 Dietary Guidelines recommended that most of the fats you eat be mono and polyunsaturated fats. Sunflower oil is 90% mono and polyunsaturated fats and has 0 grams 100% pure sunflower oil. 0 grams Trans fat. Artificially flavored, no preservatives. Makes lunch more special. great snack, anytime, anywhere. Pack of 64, 1.5-ounce bags (total of 96-ounces). Zero grams trans fat. Artificially flavored and contains no preservatives",1.5 oz,64,bag,,,MASKED,,,,
028400003919,"Lay's Potato Chips, Salt & Vinegar, 1.5-Ounce Large Single Serve Bags (Pack of 64)","0 grams Trans fat. Made with 100% pure sunflower oil. Same great taste! Great news! The 2005 Dietary Guidelines recommended that most of the fats you eat be mono and polyunsaturated fats. Sunflower oil is 90% mono and polyunsaturated fats and has 0 grams 100% pure sunflower oil. 0 grams Trans fat. Artificially flavored, no preservatives. Makes lunch more special. great snack, anytime, anywhere. Pack of 64, 1.5-ounce bags (total of 96-ounces). Zero grams trans fat. Artificially flavored and contains no preservatives",1.5 oz,64,bag,,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,"67,98",https://m.media-amazon.com/images/I/51So36g0PPL.jpg,B000R7VI34
028400003919,"Lay's Potato Chips, Salt & Vinegar, 1.5-Ounce Large Single Serve Bags (Pack of 64)","0 grams Trans fat. Made with 100% pure sunflower oil. Same great taste! Great news! The 2005 Dietary Guidelines recommended that most of the fats you eat be mono and polyunsaturated fats. Sunflower oil is 90% mono and polyunsaturated fats and has 0 grams 100% pure sunflower oil. 0 grams Trans fat. Artificially flavored, no preservatives. Makes lunch more special. great snack, anytime, anywhere. Pack of 64, 1.5-ounce bags (total of 96-ounces). Zero grams trans fat. Artificially flavored and contains no preservatives",1.5 oz,64,bag,,,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840000391,0002840000391
028400003919,"Lay's Potato Chips, Salt & Vinegar, 1.5-Ounce Large Single Serve Bags (Pack of 64)","0 grams Trans fat. Made with 100% pure sunflower oil. Same great taste! Great news! The 2005 Dietary Guidelines recommended that most of the fats you eat be mono and polyunsaturated fats. Sunflower oil is 90% mono and polyunsaturated fats and has 0 grams 100% pure sunflower oil. 0 grams Trans fat. Artificially flavored, no preservatives. Makes lunch more special. great snack, anytime, anywhere. Pack of 64, 1.5-ounce bags (total of 96-ounces). Zero grams trans fat. Artificially flavored and contains no preservatives",1.5 oz,64,bag,,,Walmart,Food > Grab & Go > Single serve snacks > Single Serve Salty Snacks,"68,99",https://i5.walmartimages.com/seo/Lay-s-Salt-Vinegar-Potato-Chips-1-5-oz-Bag_dbbbc220-62b2-4705-8077-df571820a70c_1.9c7ffbaee8496a1a5d9f6a7a9df162db.jpeg,165938172
028400003926,Lays Sour Crm An,"LAYS SOUR CREAM/ONION PP
",1.25 oz,1,bag,,,MASKED,,,,
028400004329,Lay's Wavy Original Family Size Potato Chips,"Our founder, Herman W. Lay, believed in selling only the highest quality potato chips. For over 60 years, Lay's brand Potato Chips have set the standard for great tasting, golden, crispy potato chips. Lay's Potato Chips are available in a variety of great tasting flavors for everyone in your family. Available in Classic, KC Masterpiece Barbecue, Sour Cream & Onion artificially flavored, and Salt & Vinegar artificially flavored. No matter what flavor you choose, Lay's Potato Chips are the perfect choice to make your lunch more enjoyable. Whether at home, school, or work, make your next lunch more special with a bag of Lay's Potato Chips. Guaranteed fresh until printed date or this snack's on us.
",20.5 oz,1,bag,,,MASKED,,,,
028400004343,"Lays Potato Chips, Original, Super Size","Wavy Lay's brand Original Potato Chips bring you the incredible crispness and Light texture of Lay's Brand. Potato Chips, with added crunch and flavor in each ridge. With every bite, you'll agree that our Wavy Lay's brand Original Potato Chips are bursting with taste. Wavy Lay's brand. Original Potato Chips are a great snack Anytime, and the perfect potato chip to go with your lunch. No preservatives.
",21.5 oz,1,bag,,,MASKED,,,,
028400004497,BAKED LAYS PARMS TUSCAN HERB,"With baked-in flavor. Carpe Snackem: Good things from Italy - Parmesan, basil, the Renaissance. You've got two out of three right here - not to mention, 65% less fat than potato chips. 120 calories per serving. 3 g fat per serving. Fat content of regular potato chips is 10 g per 1 oz. serving; fat content of these snacks is 3 g per 1 oz. serving.
",8.75 oz,1,bag,,,MASKED,,,,
028400004640,"Lays Baked! Potato Crisps, Original","The naturally baked snack that complements your active lifestyle! For a great taste, try the light textured crispy golden potato taste of Baked Lay's brand Potato Crisps. Every bite is naturally oven-baked, fresh tasting and delicious with only 1.5 g of fat per serving. 25% more free! 12.5 oz for same suggested retail as 10 oz. No preservatives.
",12.5 oz,1,bag,,No Preservatives,MASKED,,,,
028400005012,"Lays Potato Chips, Cracker Barrel Sharp Cheddar",,5.5 oz,1,bag,,,MASKED,,,,
028400005074,"Lays Potato Chips, Cracker Barrel Sharp Cheddar",,1 oz,1,bag,,,MASKED,,,,
028400005722,"Lay's Potato Crisps, Pizza Flavored 5.5 Oz","Gluten free. Lay’s Stax are the ultimate way to recharge! Lay’s Stax pizza flavored potato crisps give you the full flavor and crispy crunch that adds great taste to your busy day. Enjoy lay’s Stax crisps at the office, around the house, or wherever you are. Questions or comments? 1-800-352-4477 weekdays 9:00am to 4:30pm Central Time. Please recycle. Made in Mexico.
",5.5 oz,1,can,,Gluten-Free; Recyclable,MASKED,,,,
028400005920,"Lay's® Adobadas Flavored Potato Chips, 7 oz","Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face. 7 oz bag of LAY'S Sabritas Adobadas classic potato chips LAY'S potato chips with a flavor that you know and love No Artificial Flavors",7 oz,1,bag,,No Artificial Flavors,MASKED,,,,
028400005920,"Lay's® Adobadas Flavored Potato Chips, 7 oz","Wherever celebrations and good times happen, the LAY'S brand will be there to flavor the moment. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face. 7 oz bag of LAY'S Sabritas Adobadas classic potato chips LAY'S potato chips with a flavor that you know and love No Artificial Flavors",7 oz,1,bag,,No Artificial Flavors,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840000592,0002840000592
